Coal,Commercial.Geothermal,Commercial.Hydropower,Commercial.Solar,Commercial.Wind,Commercial.Wood,Consumption.Commercial.Coal,Consumption.Commercial.Distillate Fuel Oil,Consumption.Commercial.Kerosene,Consumption.Commercial.Liquefied Petroleum Gases,Consumption.Commercial.Natural Gas,Consumption.Electric Power.Coal,Consumption.Electric Power.Distillate Fuel Oil,Consumption.Electric Power.Natural Gas,Consumption.Industrial.Coal,Consumption.Industrial.Distillate Fuel Oil,Consumption.Industrial.Kerosene,Consumption.Industrial.Liquefied Petroleum Gases,Consumption.Industrial.Natural Gas,Consumption.Industrial.Other Petroleum Products,Consumption.Residential.Coal,Consumption.Residential.Distillate Fuel Oil,Consumption.Residential.Kerosene,Consumption.Residential.Liquefied Petroleum Gases,Consumption.Residential.Natural Gas,Consumption.Residential.Wood,Consumption.Transportation.Coal,Consumption.Transportation.Distillate Fuel Oil,Consumption.Transportation.Liquefied Petroleum Gases,Consumption.Transportation.Natural Gas,Electric Power.Wood,Expenditure.Commercial.Coal,Expenditure.Commercial.Distillate Fuel Oil,Expenditure.Commercial.Kerosene,Expenditure.Commercial.Liquefied Petroleum Gases,Expenditure.Commercial.Natural Gas,Expenditure.Electric Power.Coal,Expenditure.Electric Power.Distillate Fuel Oil,Expenditure.Electric Power.Natural Gas,Expenditure.Industrial.Coal,Expenditure.Industrial.Distillate Fuel Oil,Expenditure.Industrial.Kerosene,Expenditure.Industrial.Liquefied Petroleum Gases,Expenditure.Industrial.Natural Gas,Expenditure.Industrial.Other Petroleum Products,Expenditure.Residential.Coal,Expenditure.Residential.Distillate Fuel Oil,Expenditure.Residential.Kerosene,Expenditure.Residential.Liquefied Petroleum Gases,Expenditure.Residential.Natural Gas,Expenditure.Residential.Wood,Expenditure.Transportation.Coal,Expenditure.Transportation.Distillate Fuel Oil,Expenditure.Transportation.Liquefied Petroleum Gases,Expenditure.Transportation.Natural Gas,Industrial.Geothermal,Industrial.Hydropower,Industrial.Solar,Industrial.Wind,Industrial.Wood,Price.Commercial.Coal,Price.Commercial.Distillate Fuel Oil,Price.Commercial.Kerosene,Price.Commercial.Liquefied Petroleum Gases,Price.Commercial.Natural Gas,Price.Electric Power.Coal,Price.Electric Power.Distillate Fuel Oil,Price.Electric Power.Natural Gas,Price.Industrial.Coal,Price.Industrial.Distillate Fuel Oil,Price.Industrial.Kerosene,Price.Industrial.Liquefied Petroleum Gases,Price.Industrial.Natural Gas,Price.Industrial.Other Petroleum Products,Price.Transportation.Coal,Price.Transportation.Distillate Fuel Oil,Price.Transportation.Liquefied Petroleum Gases,Price.Transportation.Natural Gas,Refinery.Coal,Refinery.Distillate Fuel Oil,Refinery.Liquefied Petroleum Gases,Refinery.Natural Gas,Residential.Geothermal,State,Year
114689.0,0.0,0.0,0.0,0.0,35.0,2644.0,2110.0,33.0,450.0,10482.0,12840.0,67.0,3806.0,70489.0,5768.0,167.0,515.0,34662.0,11571.0,3805.0,580.0,5.0,673.0,23398.0,1840.0,1188.0,13466.0,134.0,92.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,344.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Utah,1960
0.0,0.0,0.0,0.0,0.0,65.0,769.0,2434.0,245.0,367.0,0.0,516.0,49.0,0.0,1096.0,1361.0,423.0,413.0,0.0,253.0,1107.0,11906.0,3973.0,799.0,0.0,3457.0,19.0,1480.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,689.0,0.0,0.0,4420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Vermont,1960
0.0,0.0,0.0,0.0,0.0,20.0,210.0,8046.0,95.0,224.0,1753.0,16146.0,76.0,356.0,95.0,2139.0,560.0,128.0,2969.0,1301.0,302.0,32079.0,4367.0,448.0,6946.0,1049.0,2.0,4879.0,5.0,230.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,0.0,0.0,1789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Rhode Island,1960
0.0,0.0,0.0,0.0,0.0,418.0,24324.0,18710.0,3206.0,735.0,44506.0,256299.0,451.0,5391.0,331969.0,41303.0,15543.0,2181.0,121345.0,23881.0,35003.0,101236.0,4336.0,8018.0,209046.0,22068.0,5547.0,14419.0,81.0,2692.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2285.0,0.0,0.0,14775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Michigan,1960
61027.0,0.0,0.0,0.0,0.0,490.0,11149.0,6411.0,8546.0,4272.0,33826.0,80476.0,1040.0,31310.0,62181.0,33332.0,1928.0,1819.0,81694.0,12971.0,16044.0,7750.0,1359.0,16878.0,115001.0,25869.0,1056.0,26124.0,165.0,8243.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7276.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Missouri,1960
18923.0,0.0,0.0,0.0,0.0,60.0,554.0,671.0,492.0,1711.0,42616.0,10342.0,641.0,85072.0,3962.0,8186.0,1736.0,5497.0,125654.0,34791.0,797.0,310.0,1721.0,13844.0,76062.0,3148.0,68.0,17800.0,823.0,44260.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,705.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Kansas,1960
0.0,0.0,0.0,0.0,0.0,29.0,210.0,3333.0,644.0,221.0,586.0,19147.0,46.0,3301.0,823.0,2807.0,256.0,3321.0,1519.0,23077.0,302.0,8648.0,4576.0,573.0,3945.0,1514.0,14.0,965.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Delaware,1960
0.0,0.0,0.0,0.0,0.0,162.0,8421.0,69694.0,2290.0,970.0,10596.0,64462.0,1615.0,11163.0,33176.0,13528.0,2584.0,1081.0,11979.0,7551.0,12118.0,199826.0,27546.0,2422.0,46591.0,8548.0,569.0,13811.0,15.0,284.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1260.0,0.0,0.0,34073.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Massachusetts,1960
3714.0,0.0,0.0,0.0,0.0,337.0,1693.0,13444.0,0.0,331.0,6704.0,0.0,10.0,0.0,10914.0,34581.0,596.0,557.0,51795.0,21398.0,2437.0,42538.0,0.0,1236.0,8281.0,17768.0,187.0,14992.0,22.0,427.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2096.0,0.0,0.0,40420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Washington,1960
752355.0,0.0,0.0,0.0,0.0,568.0,13200.0,8085.0,528.0,981.0,11733.0,167357.0,32.0,1489.0,114874.0,12428.0,1647.0,1146.0,23286.0,10144.0,18995.0,37977.0,26393.0,2333.0,27851.0,29980.0,1969.0,23878.0,28.0,4073.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,845.0,0.0,0.0,25525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Virginia,1960
0.0,0.0,0.0,0.0,0.0,18.0,311.0,625.0,0.0,378.0,899.0,0.0,39.0,6560.0,3150.0,3348.0,17.0,1854.0,3420.0,0.0,447.0,1274.0,0.0,862.0,2003.0,929.0,54.0,8745.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Nevada,1960
26409.0,0.0,0.0,0.0,0.0,267.0,107.0,3469.0,3718.0,10602.0,61818.0,0.0,106.0,421566.0,24418.0,58940.0,15476.0,247302.0,2100294.0,334276.0,154.0,562.0,34.0,34900.0,177678.0,14104.0,295.0,79051.0,7764.0,54125.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,23925.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Texas,1960
2971458.0,0.0,0.0,0.0,0.0,158.0,2493.0,435.0,43.0,190.0,16041.0,140553.0,1.0,974.0,204365.0,2631.0,680.0,1209.0,78360.0,27268.0,3588.0,1186.0,839.0,831.0,51444.0,8325.0,3419.0,10149.0,7.0,8735.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5810.0,0.0,0.0,4885.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,West Virginia,1960
1586449.0,0.0,0.0,0.0,0.0,282.0,7270.0,2917.0,1000.0,869.0,18903.0,171500.0,2.0,2368.0,95912.0,9077.0,2902.0,10304.0,47727.0,13027.0,10461.0,1408.0,5085.0,5431.0,65214.0,14878.0,1595.0,14846.0,129.0,19595.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7258.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Kentucky,1960
796648.0,0.0,0.0,0.0,0.0,375.0,33385.0,8407.0,541.0,1279.0,111692.0,512453.0,623.0,3097.0,664329.0,41429.0,11473.0,6599.0,226115.0,56351.0,48042.0,42347.0,10414.0,6618.0,374503.0,19797.0,10997.0,46522.0,138.0,9416.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,134.0,0.0,0.0,16495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ohio,1960
0.0,0.0,0.0,0.0,0.0,491.0,19883.0,88684.0,2654.0,2125.0,65213.0,326074.0,3148.0,59843.0,311870.0,75317.0,3741.0,1354.0,74243.0,16856.0,28612.0,261701.0,23667.0,7489.0,232462.0,25903.0,5290.0,51014.0,69.0,2365.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3664.0,0.0,0.0,32869.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,New York,1960
262.0,0.0,0.0,0.0,0.0,23.0,972.0,1314.0,0.0,775.0,7468.0,4229.0,41.0,4610.0,105.0,10368.0,409.0,387.0,5334.0,0.0,1399.0,3305.0,5118.0,4041.0,7932.0,1221.0,2.0,2106.0,83.0,48.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,215.0,0.0,0.0,292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,South Dakota,1960
1020689.0,0.0,0.0,0.0,0.0,280.0,62835.0,28160.0,444.0,3444.0,48906.0,416919.0,937.0,43830.0,338810.0,78902.0,18365.0,35525.0,192728.0,82230.0,90421.0,89300.0,11633.0,19986.0,240242.0,14775.0,5663.0,50798.0,1212.0,10420.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,202.0,0.0,0.0,15979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Illinois,1960
